event_id,machine_id,machine_type,event_type_code,event_timestamp,event_date,status_value,temperature_c,speed_units_per_min,vibration_mm_s,product_count,cycle_duration_seconds,error_code,source_ingested_at,load_date
705bea3c-1382-41fc-b2aa-5e104cb5ae7f,PKR-001,PACKER,SENSOR_VIBRATION_READING,2026-04-01 15:27:03,2026-04-01,,,,3.767,,,,2026-04-01 15:29:02,2026-04-01
494465f2-4927-40f0-afa6-ef4e139d3c47,BKR-003,BAKER,SENSOR_VIBRATION_READING,2026-04-03 17:05:09,2026-04-03,,,,1.454,,,,2026-04-03 17:07:01,2026-04-03
5345228f-1508-474f-922a-22e80bf1e97a,PKR-001,PACKER,SENSOR_TEMPERATURE_READING,2026-04-05 12:31:57,2026-04-05,,39.79,,,,,,2026-04-05 12:32:05,2026-04-05
22744c14-f0b6-4aa9-b2c9-844bc3c6393f,BKR-005,BAKER,PRODUCT_COUNT_UPDATE,2026-04-03 06:14:28,2026-04-03,,,,,36,,,2026-04-03 06:14:28,2026-04-03
12678061-2a50-4a37-8f0d-08bd3265721f,CKR-002,COOKER,CYCLE_COMPLETE,2026-04-03 09:11:21,2026-04-03,,,,,457,2815,,2026-04-03 09:11:45,2026-04-03
3fc7e9cb-cea8-47fd-9ec9-eec72f7f2c85,CKR-001,COOKER,SENSOR_SPEED_READING,2026-04-02 13:52:52,2026-04-02,,,20.31,,,,,2026-04-02 13:53:01,2026-04-02
eb765e47-2053-4e44-8519-634b94387ed3,CKR-005,COOKER,SENSOR_VIBRATION_READING,2026-04-03 12:54:41,2026-04-03,,,,1.47,,,,2026-04-03 12:56:01,2026-04-03
221640f1-b0cc-441a-b6dc-53a93b67279d,BKR-002,BAKER,SENSOR_VIBRATION_READING,2026-04-01 13:37:38,2026-04-01,,,,1.081,,,,2026-04-01 13:38:02,2026-04-01
e24789ef-c887-42ba-a30b-5878261c168c,PKR-004,PACKER,SENSOR_VIBRATION_READING,2026-04-05 21:16:19,2026-04-05,,,,3.109,,,,2026-04-05 21:16:32,2026-04-05
be2dc829-2bd9-400d-a9b0-6b613c629b01,SLC-005,SLICER,SENSOR_VIBRATION_READING,2026-04-03 17:55:00,2026-04-03,,,,6.623,,,,2026-04-03 17:56:54,2026-04-03
761df989-b871-4707-906c-a7423916a256,PKR-003,PACKER,PRODUCT_COUNT_UPDATE,2026-04-02 10:42:44,2026-04-02,,,,,7,,,2026-04-02 11:03:27,2026-04-02
2867f0cb-fdf3-4574-82df-53de7a423437,SLC-005,SLICER,SENSOR_TEMPERATURE_READING,2026-04-01 06:41:12,2026-04-01,,32.59,,,,,,2026-04-01 06:41:32,2026-04-01
cb274a2c-4403-48af-aed9-f07c725fede6,CKR-003,COOKER,SENSOR_SPEED_READING,2026-04-02 19:33:36,2026-04-02,,,19.84,,,,,2026-04-02 19:33:45,2026-04-02
56ca0a8b-93dd-416c-bf1c-f942c58c3cb6,PKR-004,PACKER,SENSOR_SPEED_READING,2026-04-01 18:39:54,2026-04-01,,,85.07,,,,,2026-04-01 19:32:34,2026-04-02
ccb144f1-2175-47d9-bc59-b5e9a73083d2,BKR-001,BAKER,CYCLE_COMPLETE,2026-04-03 10:50:18,2026-04-03,,,,,187,4991,,2026-04-03 10:50:34,2026-04-03
4ad9f396-d19e-4ed1-be5a-fbe5dae883c3,SLC-003,SLICER,SENSOR_SPEED_READING,2026-04-03 14:37:43,2026-04-03,,,72.44,,,,,2026-04-03 14:37:54,2026-04-03
40425495-07f8-4820-84ec-53b21aa80eed,CKR-003,COOKER,CYCLE_START,2026-04-02 17:39:03,2026-04-02,,,,,,,,2026-04-02 17:40:47,2026-04-02
800536ec-946f-4876-9821-455b3bfb4a4d,BKR-004,BAKER,SENSOR_VIBRATION_READING,2026-04-02 15:24:38,2026-04-02,,,,0.99,,,,2026-04-02 15:25:20,2026-04-02
ed3e27a7-557c-49f0-892f-8df08d3423cd,CKR-005,COOKER,MAINTENANCE_ALERT,2026-04-01 10:12:50,2026-04-01,,,,,,,,2026-04-01 10:13:48,2026-04-01
15b66052-2be7-48b9-ba0e-d9b542744c5e,BKR-003,BAKER,CYCLE_START,2026-04-02 19:16:56,2026-04-02,,,,,,,,2026-04-02 19:18:03,2026-04-02
760a608f-8fb0-4790-8076-f3f4d4d8e02e,BKR-004,BAKER,SENSOR_TEMPERATURE_READING,2026-04-03 06:51:27,2026-04-03,,161.13,,,,,,2026-04-03 06:52:52,2026-04-03
2faec126-367b-4121-b568-f0dd7d1fea03,PKR-003,PACKER,SENSOR_TEMPERATURE_READING,2026-04-05 18:26:54,2026-04-05,,45.24,,,,,,2026-04-05 18:28:13,2026-04-05
e795e196-0a81-4d7c-944d-5408085a80f7,SLC-004,SLICER,SENSOR_VIBRATION_READING,2026-04-03 09:34:21,2026-04-03,,,,4.183,,,,2026-04-03 09:35:48,2026-04-03
fc094bc0-db77-4f99-83df-db900c73511e,CKR-003,COOKER,SENSOR_SPEED_READING,2026-04-01 08:32:04,2026-04-01,,,24.27,,,,,2026-04-01 08:32:58,2026-04-01
fca9fe9f-c4cf-428a-a54b-7c8590abcfb2,SLC-005,SLICER,SENSOR_SPEED_READING,2026-04-01 12:36:18,2026-04-01,,,89.97,,,,,2026-04-01 14:06:45,2026-04-02
5c1db151-96c3-45ed-bd11-7f0b2712b575,SLC-003,SLICER,PRODUCT_COUNT_UPDATE,2026-04-01 08:34:17,2026-04-01,,,,,27,,,2026-04-01 09:04:39,2026-04-01
b5c6826d-89f3-4a77-afdf-4cbf6ff09e58,BKR-003,BAKER,SENSOR_TEMPERATURE_READING,2026-04-02 09:10:46,2026-04-02,,155.8,,,,,,2026-04-02 09:12:07,2026-04-02
7abef41c-0ae3-40cb-b707-11d0fe44021a,PKR-001,PACKER,SENSOR_VIBRATION_READING,2026-04-02 17:08:24,2026-04-02,,,,2.669,,,,2026-04-02 17:09:07,2026-04-02
836a7766-5867-4226-abc1-bba1842ee8ef,SLC-005,SLICER,SENSOR_SPEED_READING,2026-04-01 12:03:47,2026-04-01,,,95.24,,,,,2026-04-01 12:04:14,2026-04-01
9c3042fd-dfea-4479-adb6-84c6a04fca41,CKR-001,COOKER,PRODUCT_COUNT_UPDATE,2026-04-05 13:49:58,2026-04-05,,,,,38,,,2026-04-05 13:51:28,2026-04-05
9a7ff837-8abe-47d0-9880-31c503c5952b,PKR-001,PACKER,STATUS_CHANGE,2026-04-01 08:18:54,2026-04-01,IDLE,,,,,,,2026-04-01 08:19:47,2026-04-01
7432e703-ad26-47c2-a112-3077478157cf,PKR-005,PACKER,SENSOR_TEMPERATURE_READING,2026-04-01 11:31:55,2026-04-01,,38.21,,,,,,2026-04-01 11:33:09,2026-04-01
9ca31b56-8701-463e-b0fa-f1004f49ba9d,PKR-003,PACKER,SENSOR_SPEED_READING,2026-04-03 20:28:45,2026-04-03,,,97.28,,,,,2026-04-03 20:29:34,2026-04-03
649d0d99-3bc2-4f94-9937-105d092534d3,CKR-001,COOKER,SENSOR_TEMPERATURE_READING,2026-04-03 14:44:18,2026-04-03,,180.08,,,,,,2026-04-03 14:44:24,2026-04-03
0aef1c42-b0fe-47cf-b3e1-6317273864af,SLC-002,SLICER,SENSOR_SPEED_READING,2026-04-04 08:59:27,2026-04-04,,,60.57,,,,,2026-04-04 08:59:43,2026-04-04
2d62c4e9-1b8b-4c33-8d7e-c1c43418531c,CKR-003,COOKER,SENSOR_TEMPERATURE_READING,2026-04-01 01:06:27,2026-04-01,,187.31,,,,,,2026-04-01 01:07:42,2026-04-01
5c87cb24-5789-4c24-a5b6-4ca3445ce77d,SLC-001,SLICER,SENSOR_TEMPERATURE_READING,2026-04-05 11:40:24,2026-04-05,,35.18,,,,,,2026-04-05 11:40:55,2026-04-05
482c50b5-2727-4de4-97eb-bb87768b061a,CKR-002,COOKER,CYCLE_COMPLETE,2026-04-01 17:28:08,2026-04-01,,,,,380,1788,,2026-04-01 17:29:35,2026-04-01
d9606a30-7077-4c25-8d41-bb5948200ee0,SLC-005,SLICER,SENSOR_SPEED_READING,2026-04-01 21:57:14,2026-04-01,,,89.96,,,,,2026-04-01 21:58:52,2026-04-01
6e15d742-5571-4dd9-ac16-45d9ec88a2b8,CKR-005,COOKER,SENSOR_VIBRATION_READING,2026-04-01 19:35:06,2026-04-01,,,,1.444,,,,2026-04-01 19:35:29,2026-04-01
67bba659-a149-4ee7-b9fc-a05e7a02b2f7,SLC-004,SLICER,SENSOR_SPEED_READING,2026-04-03 14:09:17,2026-04-03,,,89.84,,,,,2026-04-03 14:10:40,2026-04-03
3e92e592-717e-4151-b5d0-27749644e8d9,BKR-003,BAKER,CYCLE_COMPLETE,2026-04-03 15:26:47,2026-04-03,,,,,395,1610,,2026-04-03 15:27:25,2026-04-03
c0462ab1-41c3-42fa-894c-85df6d798d46,PKR-005,PACKER,SENSOR_VIBRATION_READING,2026-04-03 21:36:03,2026-04-03,,,,3.931,,,,2026-04-03 21:36:28,2026-04-03
575bdcc1-974f-41c4-84ec-95d0075b1b7d,SLC-004,SLICER,SENSOR_TEMPERATURE_READING,2026-04-01 07:34:56,2026-04-01,,29.99,,,,,,2026-04-01 07:35:07,2026-04-01
6dcda38c-cce5-4fd6-9410-cc4d2cce9da4,CKR-002,COOKER,SENSOR_TEMPERATURE_READING,2026-04-05 03:06:38,2026-04-05,,173.39,,,,,,2026-04-05 03:12:07,2026-04-05
